match_threshold,orb_weight,max_hist_samples,force_reid,ids_cam1,ids_cam2,intersection_count,intersection_ids,elapsed_s
0.2,0.0,3,False,1,1,1,1,12.25
0.2,0.0,3,True,1,1,1,1,9.52
0.2,0.0,5,False,1,1,1,1,9.33
0.2,0.0,5,True,1,1,1,1,9.66
0.2,0.0,10,False,1,1,1,1,9.37
0.2,0.0,10,True,1,1,1,1,9.68
0.2,0.0,20,False,1,1,1,1,9.48
0.2,0.0,20,True,1,1,1,1,9.5
0.2,0.3,3,False,1,1,1,1,9.42
0.2,0.3,3,True,1,1,1,1,9.63
0.2,0.3,5,False,1,1,1,1,9.66
0.2,0.3,5,True,1,1,1,1,9.58
0.2,0.3,10,False,1,1,1,1,9.45
0.2,0.3,10,True,1,1,1,1,9.26
0.2,0.3,20,False,1,1,1,1,9.37
0.2,0.3,20,True,1,1,1,1,9.52
0.2,0.6,3,False,1,1,1,1,9.63
0.2,0.6,3,True,1,1,1,1,9.69
0.2,0.6,5,False,1,1,1,1,9.39
0.2,0.6,5,True,1,1,1,1,9.52
0.2,0.6,10,False,1,1,1,1,9.71
0.2,0.6,10,True,1,1,1,1,9.16
0.2,0.6,20,False,1,1,1,1,9.48
0.2,0.6,20,True,1,1,1,1,9.82
0.25,0.0,3,False,1,1,1,1,9.32
0.25,0.0,3,True,1,1,1,1,9.34
0.25,0.0,5,False,1,1,1,1,9.44
0.25,0.0,5,True,1,1,1,1,9.44
0.25,0.0,10,False,1,1,1,1,9.54
0.25,0.0,10,True,1,1,1,1,9.45
0.25,0.0,20,False,1,1,1,1,9.8
0.25,0.0,20,True,1,1,1,1,9.53
0.25,0.3,3,False,1,1,1,1,9.43
0.25,0.3,3,True,1,1,1,1,9.33
0.25,0.3,5,False,1,1,1,1,9.36
0.25,0.3,5,True,1,1,1,1,9.79
0.25,0.3,10,False,1,1,1,1,9.68
0.25,0.3,10,True,1,1,1,1,9.49
0.25,0.3,20,False,1,1,1,1,9.58
0.25,0.3,20,True,1,1,1,1,9.41
0.25,0.6,3,False,1,1,1,1,9.36
0.25,0.6,3,True,1,1,1,1,9.83
0.25,0.6,5,False,1,1,1,1,10.23
0.25,0.6,5,True,1,1,1,1,9.62
0.25,0.6,10,False,1,1,1,1,9.8
0.25,0.6,10,True,1,1,1,1,9.49
0.25,0.6,20,False,1,1,1,1,9.94
0.25,0.6,20,True,1,1,1,1,9.75
0.3,0.0,3,False,1,1,1,1,9.7
0.3,0.0,3,True,1,1,1,1,9.64
0.3,0.0,5,False,1,1,1,1,9.72
0.3,0.0,5,True,1,1,1,1,9.62
0.3,0.0,10,False,1,1,1,1,9.78
0.3,0.0,10,True,1,1,1,1,9.27
0.3,0.0,20,False,1,1,1,1,9.71
0.3,0.0,20,True,1,1,1,1,9.53
0.3,0.3,3,False,1,1,1,1,9.68
0.3,0.3,3,True,1,1,1,1,9.56
0.3,0.3,5,False,1,1,1,1,9.56
0.3,0.3,5,True,1,1,1,1,9.56
0.3,0.3,10,False,1,1,1,1,9.3
0.3,0.3,10,True,1,1,1,1,9.52
0.3,0.3,20,False,1,1,1,1,9.38
0.3,0.3,20,True,1,1,1,1,9.33
0.3,0.6,3,False,1,1,1,1,9.64
0.3,0.6,3,True,1,1,1,1,9.73
0.3,0.6,5,False,1,1,1,1,9.53
0.3,0.6,5,True,1,1,1,1,9.54
0.3,0.6,10,False,1,1,1,1,9.42
0.3,0.6,10,True,1,1,1,1,9.68
0.3,0.6,20,False,1,1,1,1,9.53
0.3,0.6,20,True,1,1,1,1,9.53
0.35,0.0,3,False,1,1,1,1,9.43
0.35,0.0,3,True,1,1,1,1,9.45
0.35,0.0,5,False,1,1,1,1,9.67
0.35,0.0,5,True,1,1,1,1,9.9
0.35,0.0,10,False,1,1,1,1,9.54
0.35,0.0,10,True,1,1,1,1,9.84
0.35,0.0,20,False,1,1,1,1,9.73
0.35,0.0,20,True,1,1,1,1,9.59
0.35,0.3,3,False,1,1,1,1,9.66
0.35,0.3,3,True,1,1,1,1,10.02
0.35,0.3,5,False,1,1,1,1,9.78
0.35,0.3,5,True,1,1,1,1,9.53
0.35,0.3,10,False,1,1,1,1,9.69
0.35,0.3,10,True,1,1,1,1,9.54
0.35,0.3,20,False,1,1,1,1,9.52
0.35,0.3,20,True,1,1,1,1,9.62
0.35,0.6,3,False,1,1,1,1,9.54
0.35,0.6,3,True,1,1,1,1,9.95
0.35,0.6,5,False,1,1,1,1,9.68
0.35,0.6,5,True,1,1,1,1,9.63
0.35,0.6,10,False,1,1,1,1,6.66
0.35,0.6,10,True,1,1,1,1,5.64
0.35,0.6,20,False,1,1,1,1,5.81
0.35,0.6,20,True,1,1,1,1,5.81
0.4,0.0,3,False,1,1,1,1,5.83
0.4,0.0,3,True,1,1,1,1,5.86
0.4,0.0,5,False,1,1,1,1,5.81
0.4,0.0,5,True,1,1,1,1,5.88
0.4,0.0,10,False,1,1,1,1,5.79
0.4,0.0,10,True,1,1,1,1,5.78
0.4,0.0,20,False,1,1,1,1,5.76
0.4,0.0,20,True,1,1,1,1,5.77
0.4,0.3,3,False,1,1,1,1,5.72
0.4,0.3,3,True,1,1,1,1,5.72
0.4,0.3,5,False,1,1,1,1,5.74
0.4,0.3,5,True,1,1,1,1,5.66
0.4,0.3,10,False,1,1,1,1,5.65
0.4,0.3,10,True,1,1,1,1,5.7
0.4,0.3,20,False,1,1,1,1,5.63
0.4,0.3,20,True,1,1,1,1,5.64
0.4,0.6,3,False,1,1,1,1,5.61
0.4,0.6,3,True,1,1,1,1,5.64
0.4,0.6,5,False,1,1,1,1,5.62
0.4,0.6,5,True,1,1,1,1,5.59
0.4,0.6,10,False,1,1,1,1,5.61
0.4,0.6,10,True,1,1,1,1,5.6
0.4,0.6,20,False,1,1,1,1,5.6
0.4,0.6,20,True,1,1,1,1,5.59
